GAME_ID,luka_plus_minus
0022401185,15.0
0022401159,26.0
0022401153,6.0
0022401135,18.0
0022401126,12.0
0022401117,-3.0
0022401096,7.0
0022401078,11.0
0022401063,-1.0
0022401055,-16.0
0022401038,-9.0
0022401028,-9.0
0022401006,20.0
0022400537,19.0
0022400977,16.0
0022400955,-16.0
0022400903,16.0
0022400890,37.0
0022400874,19.0
0022400859,-13.0
0022400849,0.0
0022400835,8.0
0022400808,20.0
0022400524,13.0
0022400781,-19.0
0022400768,15.0
