GAME_ID,period,starter_ids
0022400859,2,"[1629216, 1630692, 1641998, 2544, 1629020]"
0022400859,3,"[1629216, 1629637, 1629029, 2544, 1627827]"
0022400859,4,"[1641998, 2544, 1627827, 1642261, 1629020]"
0022400849,1,"[1629060, 1629029, 1629637, 2544, 1630559]"
0022400849,2,"[1630692, 1629060, 1629637, 2544, 1630559]"
0022400849,3,"[1629060, 1629029, 1629637, 2544, 1630559]"
0022400849,4,"[1630692, 1629029, 1629637, 2544, 1630559]"
0022400835,1,"[1629060, 1629029, 1629637, 2544, 1630559]"
0022400835,2,"[1629060, 1629637, 2544, 1642261, 1630559]"
0022400835,3,"[1629060, 1629029, 1629637, 2544, 1630559]"
0022400835,4,"[1629060, 1629637, 2544, 1642261, 1630559]"
0022400808,1,"[1629060, 1629029, 1629637, 2544, 1630559]"
0022400808,2,"[1629060, 1629637, 2544, 1642261, 1630559]"
0022400808,3,"[1629060, 1629637, 1629029, 2544, 1630559]"
0022400808,4,"[1629216, 1629060, 1630692, 2544, 1629020]"
0022400524,1,"[1629060, 1629029, 1629637, 2544, 1630559]"
0022400524,2,"[1629060, 2544, 1642261, 1629020, 1630559]"
0022400524,3,"[1629060, 1629637, 1629029, 2544, 1630559]"
0022400524,4,"[1629216, 1629060, 1629029, 2544, 1642261]"
0022400781,1,"[1629060, 1629637, 1629029, 2544, 1630559]"
0022400781,2,"[203458, 1630692, 2544, 1642261, 1630559]"
0022400781,3,"[1630692, 1629060, 1629029, 2544, 1630559]"
0022400781,4,"[1629060, 2544, 1642261, 1631132, 1630559]"
0022400768,1,"[1629060, 1629029, 1629637, 2544, 1630559]"
0022400768,2,"[1629060, 1630692, 2544, 1627827, 1630559]"
0022400768,3,"[1629060, 1629029, 1629637, 2544, 1630559]"
0022400768,4,"[1629216, 1629060, 1630692, 2544, 1630559]"
